Comunidades y Ciudades Autónomas;Edad del trabajador;Sexo;Periodo;Total
Asturias, Principado de;De 35 a 44 años;Ambos sexos;2008;22.982,25
Asturias, Principado de;De 35 a 44 años;Mujeres;2021;20.436,67
Asturias, Principado de;De 35 a 44 años;Mujeres;2020;20.006,1
Asturias, Principado de;De 35 a 44 años;Mujeres;2019;21.112,49
Asturias, Principado de;De 35 a 44 años;Mujeres;2018;18.938,35
Asturias, Principado de;De 35 a 44 años;Mujeres;2017;17.557,65
Asturias, Principado de;De 35 a 44 años;Mujeres;2016;17.935,08
Asturias, Principado de;De 35 a 44 años;Mujeres;2015;17.561,39
Asturias, Principado de;De 35 a 44 años;Mujeres;2014;18.021,36
Asturias, Principado de;De 35 a 44 años;Mujeres;2013;17.772,87
Asturias, Principado de;De 35 a 44 años;Mujeres;2012;17.270,16
Asturias, Principado de;De 35 a 44 años;Mujeres;2011;18.891,25
Asturias, Principado de;De 35 a 44 años;Mujeres;2010;19.446,14
Asturias, Principado de;De 35 a 44 años;Mujeres;2009;19.081,25
Asturias, Principado de;De 35 a 44 años;Mujeres;2008;19.792,87
Asturias, Principado de;De 35 a 44 años;Hombres;2021;27.618,79
Asturias, Principado de;De 35 a 44 años;Hombres;2020;27.377,26
Asturias, Principado de;De 35 a 44 años;Hombres;2019;29.073,15
Asturias, Principado de;De 35 a 44 años;Hombres;2018;27.877,51
Asturias, Principado de;De 35 a 44 años;Hombres;2017;28.403,54
Asturias, Principado de;De 35 a 44 años;Hombres;2016;26.830,03
Asturias, Principado de;De 35 a 44 años;Hombres;2015;26.662,74
Asturias, Principado de;De 35 a 44 años;Hombres;2014;25.697,65
Asturias, Principado de;De 35 a 44 años;Hombres;2013;25.076,66
Asturias, Principado de;De 35 a 44 años;Hombres;2012;24.646,55
Asturias, Principado de;De 35 a 44 años;Hombres;2011;25.658,42
Asturias, Principado de;De 35 a 44 años;Hombres;2010;25.720,26
Asturias, Principado de;De 35 a 44 años;Hombres;2009;25.680,74
Asturias, Principado de;De 35 a 44 años;Hombres;2008;25.562,43
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2021;26.754,07
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2020;26.621,08
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2019;26.928,2
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2018;26.002,83
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2017;25.210,58
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2016;25.177,38
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2015;24.585,41
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2014;24.307,51
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2013;24.794,71
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2012;24.777,89
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2011;25.492,22
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2010;24.941,46
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2009;26.406,66
Asturias, Principado de;De 45 a 54 años;Ambos sexos;2008;24.628,41
Asturias, Principado de;De 45 a 54 años;Mujeres;2021;22.785,03
Asturias, Principado de;De 45 a 54 años;Mujeres;2020;23.390,8
Asturias, Principado de;De 45 a 54 años;Mujeres;2019;23.375,28
Asturias, Principado de;De 45 a 54 años;Mujeres;2018;20.731,94
Asturias, Principado de;De 45 a 54 años;Mujeres;2017;21.166,44
Asturias, Principado de;De 45 a 54 años;Mujeres;2016;20.910,86
Asturias, Principado de;De 45 a 54 años;Mujeres;2015;20.934,4
Asturias, Principado de;De 45 a 54 años;Mujeres;2014;20.453,47
Asturias, Principado de;De 45 a 54 años;Mujeres;2013;19.887,84
Asturias, Principado de;De 45 a 54 años;Mujeres;2012;19.213,83
Asturias, Principado de;De 45 a 54 años;Mujeres;2011;20.488,9
Asturias, Principado de;De 45 a 54 años;Mujeres;2010;20.494,35
Asturias, Principado de;De 45 a 54 años;Mujeres;2009;22.447,44
Asturias, Principado de;De 45 a 54 años;Mujeres;2008;20.707,3
Asturias, Principado de;De 45 a 54 años;Hombres;2021;31.028,09
Asturias, Principado de;De 45 a 54 años;Hombres;2020;30.204,52
Asturias, Principado de;De 45 a 54 años;Hombres;2019;30.611,86
Asturias, Principado de;De 45 a 54 años;Hombres;2018;30.675,6
Asturias, Principado de;De 45 a 54 años;Hombres;2017;29.219,75
Asturias, Principado de;De 45 a 54 años;Hombres;2016;29.420,15
Asturias, Principado de;De 45 a 54 años;Hombres;2015;28.113,85
Asturias, Principado de;De 45 a 54 años;Hombres;2014;27.975,58
Asturias, Principado de;De 45 a 54 años;Hombres;2013;29.947,39
Asturias, Principado de;De 45 a 54 años;Hombres;2012;29.611,39
Asturias, Principado de;De 45 a 54 años;Hombres;2011;29.505,26
Asturias, Principado de;De 45 a 54 años;Hombres;2010;28.774,36
Asturias, Principado de;De 45 a 54 años;Hombres;2009;29.916,83
Asturias, Principado de;De 45 a 54 años;Hombres;2008;27.928,86
Asturias, Principado de;55 y más años;Ambos sexos;2021;28.097,03
Asturias, Principado de;55 y más años;Ambos sexos;2020;26.951,58
Asturias, Principado de;55 y más años;Ambos sexos;2019;27.657,58
Asturias, Principado de;55 y más años;Ambos sexos;2018;26.867,23
Asturias, Principado de;55 y más años;Ambos sexos;2017;26.629,65
Asturias, Principado de;55 y más años;Ambos sexos;2016;25.412,29
Asturias, Principado de;55 y más años;Ambos sexos;2015;25.684,88
Asturias, Principado de;55 y más años;Ambos sexos;2014;24.796,32
Asturias, Principado de;55 y más años;Ambos sexos;2013;24.878,04
Asturias, Principado de;55 y más años;Ambos sexos;2012;24.437,62
Asturias, Principado de;55 y más años;Ambos sexos;2011;26.033,07
Asturias, Principado de;55 y más años;Ambos sexos;2010;25.888,04
Asturias, Principado de;55 y más años;Ambos sexos;2009;24.403,27
Asturias, Principado de;55 y más años;Ambos sexos;2008;24.000,59
Asturias, Principado de;55 y más años;Mujeres;2021;25.776,93
Asturias, Principado de;55 y más años;Mujeres;2020;24.036,28
Asturias, Principado de;55 y más años;Mujeres;2019;24.327,46
Asturias, Principado de;55 y más años;Mujeres;2018;23.242,05
Asturias, Principado de;55 y más años;Mujeres;2017;23.060,56
Asturias, Principado de;55 y más años;Mujeres;2016;22.000,65
Asturias, Principado de;55 y más años;Mujeres;2015;22.645,43
Asturias, Principado de;55 y más años;Mujeres;2014;-21.574,75
Asturias, Principado de;55 y más años;Mujeres;2013;-23.714,37
Asturias, Principado de;55 y más años;Mujeres;2012;-22.679,12
Asturias, Principado de;55 y más años;Mujeres;2011;-24.394
Asturias, Principado de;55 y más años;Mujeres;2010;-23.781,8
Asturias, Principado de;55 y más años;Mujeres;2009;-20.981,63
Asturias, Principado de;55 y más años;Mujeres;2008;-20.170,52
Asturias, Principado de;55 y más años;Hombres;2021;30.808,12
Asturias, Principado de;55 y más años;Hombres;2020;30.154,08
Asturias, Principado de;55 y más años;Hombres;2019;31.100,11
Asturias, Principado de;55 y más años;Hombres;2018;30.446,36
Asturias, Principado de;55 y más años;Hombres;2017;30.074,53
Asturias, Principado de;55 y más años;Hombres;2016;28.542,19
Asturias, Principado de;55 y más años;Hombres;2015;28.044,05
Asturias, Principado de;55 y más años;Hombres;2014;27.816,04
Asturias, Principado de;55 y más años;Hombres;2013;25.696,51
Asturias, Principado de;55 y más años;Hombres;2012;25.641,23
Asturias, Principado de;55 y más años;Hombres;2011;27.037,13
Asturias, Principado de;55 y más años;Hombres;2010;26.963,72
Asturias, Principado de;55 y más años;Hombres;2009;26.092,5
Asturias, Principado de;55 y más años;Hombres;2008;25.586,46
Balears, Illes;Todas las edades;Ambos sexos;2021;24.134,73
Balears, Illes;Todas las edades;Ambos sexos;2020;23.881,42
Balears, Illes;Todas las edades;Ambos sexos;2019;23.325,33
Balears, Illes;Todas las edades;Ambos sexos;2018;22.800,87
Balears, Illes;Todas las edades;Ambos sexos;2017;22.036,46
Balears, Illes;Todas las edades;Ambos sexos;2016;21.478,34
Balears, Illes;Todas las edades;Ambos sexos;2015;21.395,42
Balears, Illes;Todas las edades;Ambos sexos;2014;21.322,08
Balears, Illes;Todas las edades;Ambos sexos;2013;20.776,29
Balears, Illes;Todas las edades;Ambos sexos;2012;20.960,53
Balears, Illes;Todas las edades;Ambos sexos;2011;21.351
Balears, Illes;Todas las edades;Ambos sexos;2010;21.613,6
Balears, Illes;Todas las edades;Ambos sexos;2009;21.070,14
Balears, Illes;Todas las edades;Ambos sexos;2008;20.388,09
Balears, Illes;Todas las edades;Mujeres;2021;22.344,76
Balears, Illes;Todas las edades;Mujeres;2020;21.998,23
Balears, Illes;Todas las edades;Mujeres;2019;21.631,07
Balears, Illes;Todas las edades;Mujeres;2018;21.085,74
Balears, Illes;Todas las edades;Mujeres;2017;20.465,58
Balears, Illes;Todas las edades;Mujeres;2016;19.702,6
Balears, Illes;Todas las edades;Mujeres;2015;19.517,28
Balears, Illes;Todas las edades;Mujeres;2014;19.008,38
Balears, Illes;Todas las edades;Mujeres;2013;18.998,37
Balears, Illes;Todas las edades;Mujeres;2012;19.022,24
Balears, Illes;Todas las edades;Mujeres;2011;19.377,39
Balears, Illes;Todas las edades;Mujeres;2010;19.812,19
Balears, Illes;Todas las edades;Mujeres;2009;18.702,72
Balears, Illes;Todas las edades;Mujeres;2008;18.159,78
Balears, Illes;Todas las edades;Hombres;2021;25.898,51
Balears, Illes;Todas las edades;Hombres;2020;25.699,53
Balears, Illes;Todas las edades;Hombres;2019;24.914,51
Balears, Illes;Todas las edades;Hombres;2018;24.437,58
Balears, Illes;Todas las edades;Hombres;2017;23.538,43
Balears, Illes;Todas las edades;Hombres;2016;23.286,85
Balears, Illes;Todas las edades;Hombres;2015;23.411,35
Balears, Illes;Todas las edades;Hombres;2014;23.770,56
Balears, Illes;Todas las edades;Hombres;2013;22.584,78
Balears, Illes;Todas las edades;Hombres;2012;22.859,04
Balears, Illes;Todas las edades;Hombres;2011;23.188,8
Balears, Illes;Todas las edades;Hombres;2010;23.213,04
Balears, Illes;Todas las edades;Hombres;2009;23.285,93
Balears, Illes;Todas las edades;Hombres;2008;22.253,73
Balears, Illes;Menos de 25 años;Ambos sexos;2021;-14.471,19
Balears, Illes;Menos de 25 años;Ambos sexos;2020;-14.540,5
Balears, Illes;Menos de 25 años;Ambos sexos;2019;-13.984,62
Balears, Illes;Menos de 25 años;Ambos sexos;2018;-15.256,08
Balears, Illes;Menos de 25 años;Ambos sexos;2017;-13.965,85
Balears, Illes;Menos de 25 años;Ambos sexos;2016;-12.572,38
Balears, Illes;Menos de 25 años;Ambos sexos;2015;-13.338,74
Balears, Illes;Menos de 25 años;Ambos sexos;2014;-14.644,91
Balears, Illes;Menos de 25 años;Ambos sexos;2013;-11.286
Balears, Illes;Menos de 25 años;Ambos sexos;2012;-10.665,32
Balears, Illes;Menos de 25 años;Ambos sexos;2011;-12.149,88
Balears, Illes;Menos de 25 años;Ambos sexos;2010;-13.638,25
Balears, Illes;Menos de 25 años;Ambos sexos;2009;-13.501
Balears, Illes;Menos de 25 años;Ambos sexos;2008;13.570,12
Balears, Illes;Menos de 25 años;Mujeres;2021;-13.624,67
Balears, Illes;Menos de 25 años;Mujeres;2020;-13.895,85
Balears, Illes;Menos de 25 años;Mujeres;2019;-13.361,89
Balears, Illes;Menos de 25 años;Mujeres;2018;-13.723,53
Balears, Illes;Menos de 25 años;Mujeres;2017;-13.250,28
Balears, Illes;Menos de 25 años;Mujeres;2016;..
Balears, Illes;Menos de 25 años;Mujeres;2015;-12.994,4
Balears, Illes;Menos de 25 años;Mujeres;2014;-13.920,82
Balears, Illes;Menos de 25 años;Mujeres;2013;..
Balears, Illes;Menos de 25 años;Mujeres;2012;-9.117,56
Balears, Illes;Menos de 25 años;Mujeres;2011;-11.984,86
Balears, Illes;Menos de 25 años;Mujeres;2010;-13.717,66
Balears, Illes;Menos de 25 años;Mujeres;2009;-13.311,38
Balears, Illes;Menos de 25 años;Mujeres;2008;-13.283,81
Balears, Illes;Menos de 25 años;Hombres;2021;-15.474,21
Balears, Illes;Menos de 25 años;Hombres;2020;-15.248,68
Balears, Illes;Menos de 25 años;Hombres;2019;-14.624,47
Balears, Illes;Menos de 25 años;Hombres;2018;-16.339,95
Balears, Illes;Menos de 25 años;Hombres;2017;-14.610,96
Balears, Illes;Menos de 25 años;Hombres;2016;-12.978,89
Balears, Illes;Menos de 25 años;Hombres;2015;-13.760,63
Balears, Illes;Menos de 25 años;Hombres;2014;-15.704,7
Balears, Illes;Menos de 25 años;Hombres;2013;..
Balears, Illes;Menos de 25 años;Hombres;2012;-12.122,28
Balears, Illes;Menos de 25 años;Hombres;2011;-12.276,74
Balears, Illes;Menos de 25 años;Hombres;2010;-13.569,49
Balears, Illes;Menos de 25 años;Hombres;2009;-13.700,78
Balears, Illes;Menos de 25 años;Hombres;2008;-13.828,27
Balears, Illes;De 25 a 34 años;Ambos sexos;2021;20.381,4
Balears, Illes;De 25 a 34 años;Ambos sexos;2020;19.413,73
Balears, Illes;De 25 a 34 años;Ambos sexos;2019;20.075,72
Balears, Illes;De 25 a 34 años;Ambos sexos;2018;18.759,36
Balears, Illes;De 25 a 34 años;Ambos sexos;2017;17.786,91
Balears, Illes;De 25 a 34 años;Ambos sexos;2016;16.340,78
Balears, Illes;De 25 a 34 años;Ambos sexos;2015;17.103,89
Balears, Illes;De 25 a 34 años;Ambos sexos;2014;18.342,54
Balears, Illes;De 25 a 34 años;Ambos sexos;2013;17.165,36
Balears, Illes;De 25 a 34 años;Ambos sexos;2012;17.559,72
Balears, Illes;De 25 a 34 años;Ambos sexos;2011;18.729,9
Balears, Illes;De 25 a 34 años;Ambos sexos;2010;18.791,47
Balears, Illes;De 25 a 34 años;Ambos sexos;2009;18.482,83
Balears, Illes;De 25 a 34 años;Ambos sexos;2008;18.292,94
Balears, Illes;De 25 a 34 años;Mujeres;2021;20.094,14
Balears, Illes;De 25 a 34 años;Mujeres;2020;18.734,45
Balears, Illes;De 25 a 34 años;Mujeres;2019;19.566,8
Balears, Illes;De 25 a 34 años;Mujeres;2018;17.847,6
Balears, Illes;De 25 a 34 años;Mujeres;2017;16.457,94
Balears, Illes;De 25 a 34 años;Mujeres;2016;15.316,86
Balears, Illes;De 25 a 34 años;Mujeres;2015;16.225,72
Balears, Illes;De 25 a 34 años;Mujeres;2014;18.011,63
Balears, Illes;De 25 a 34 años;Mujeres;2013;16.202,24
Balears, Illes;De 25 a 34 años;Mujeres;2012;16.163,36
Balears, Illes;De 25 a 34 años;Mujeres;2011;17.459,51
Balears, Illes;De 25 a 34 años;Mujeres;2010;18.257,72
Balears, Illes;De 25 a 34 años;Mujeres;2009;17.969,97
Balears, Illes;De 25 a 34 años;Mujeres;2008;17.419,6
Balears, Illes;De 25 a 34 años;Hombres;2021;20.635,78
Balears, Illes;De 25 a 34 años;Hombres;2020;20.084,36
Balears, Illes;De 25 a 34 años;Hombres;2019;20.532,77
Balears, Illes;De 25 a 34 años;Hombres;2018;19.838,56
Balears, Illes;De 25 a 34 años;Hombres;2017;18.883,6
Balears, Illes;De 25 a 34 años;Hombres;2016;17.258,5
Balears, Illes;De 25 a 34 años;Hombres;2015;18.046,82
Balears, Illes;De 25 a 34 años;Hombres;2014;18.670,19
Balears, Illes;De 25 a 34 años;Hombres;2013;18.118,82
Balears, Illes;De 25 a 34 años;Hombres;2012;19.050,35
Balears, Illes;De 25 a 34 años;Hombres;2011;20.188,68
Balears, Illes;De 25 a 34 años;Hombres;2010;19.335,53
Balears, Illes;De 25 a 34 años;Hombres;2009;19.033,02
Balears, Illes;De 25 a 34 años;Hombres;2008;19.059,49
Balears, Illes;De 35 a 44 años;Ambos sexos;2021;23.606,55
Balears, Illes;De 35 a 44 años;Ambos sexos;2020;23.805,47
Balears, Illes;De 35 a 44 años;Ambos sexos;2019;23.625,54
Balears, Illes;De 35 a 44 años;Ambos sexos;2018;22.849,38
Balears, Illes;De 35 a 44 años;Ambos sexos;2017;22.385,42
Balears, Illes;De 35 a 44 años;Ambos sexos;2016;21.794,25
Balears, Illes;De 35 a 44 años;Ambos sexos;2015;21.306,05
Balears, Illes;De 35 a 44 años;Ambos sexos;2014;22.440,82
Balears, Illes;De 35 a 44 años;Ambos sexos;2013;21.311,34
Balears, Illes;De 35 a 44 años;Ambos sexos;2012;22.086,75
Balears, Illes;De 35 a 44 años;Ambos sexos;2011;22.414,44
Balears, Illes;De 35 a 44 años;Ambos sexos;2010;23.041,85
Balears, Illes;De 35 a 44 años;Ambos sexos;2009;21.373,55
Balears, Illes;De 35 a 44 años;Ambos sexos;2008;20.877,21
Balears, Illes;De 35 a 44 años;Mujeres;2021;22.555,33
Balears, Illes;De 35 a 44 años;Mujeres;2020;22.830,49
Balears, Illes;De 35 a 44 años;Mujeres;2019;22.208,06
Balears, Illes;De 35 a 44 años;Mujeres;2018;22.512,15
Balears, Illes;De 35 a 44 años;Mujeres;2017;21.364,61
Balears, Illes;De 35 a 44 años;Mujeres;2016;20.224,49
Balears, Illes;De 35 a 44 años;Mujeres;2015;19.653,38
Balears, Illes;De 35 a 44 años;Mujeres;2014;19.909,7
Balears, Illes;De 35 a 44 años;Mujeres;2013;19.524,57
Balears, Illes;De 35 a 44 años;Mujeres;2012;20.769,51
Balears, Illes;De 35 a 44 años;Mujeres;2011;20.828,6
Balears, Illes;De 35 a 44 años;Mujeres;2010;21.480,79
Balears, Illes;De 35 a 44 años;Mujeres;2009;19.014,71
Balears, Illes;De 35 a 44 años;Mujeres;2008;18.547,95
Balears, Illes;De 35 a 44 años;Hombres;2021;24.611,73
Balears, Illes;De 35 a 44 años;Hombres;2020;24.698,56
Balears, Illes;De 35 a 44 años;Hombres;2019;24.968,36
Balears, Illes;De 35 a 44 años;Hombres;2018;23.137,83
Balears, Illes;De 35 a 44 años;Hombres;2017;23.367,12
Balears, Illes;De 35 a 44 años;Hombres;2016;23.456,21
Balears, Illes;De 35 a 44 años;Hombres;2015;23.087,16
Balears, Illes;De 35 a 44 años;Hombres;2014;25.094,78
Balears, Illes;De 35 a 44 años;Hombres;2013;23.159,61
Balears, Illes;De 35 a 44 años;Hombres;2012;23.266,25
Balears, Illes;De 35 a 44 años;Hombres;2011;23.732,19
Balears, Illes;De 35 a 44 años;Hombres;2010;24.372,95
Balears, Illes;De 35 a 44 años;Hombres;2009;23.537,97
Balears, Illes;De 35 a 44 años;Hombres;2008;22.997,27
Balears, Illes;De 45 a 54 años;Ambos sexos;2021;26.167,5
Balears, Illes;De 45 a 54 años;Ambos sexos;2020;26.008,73
Balears, Illes;De 45 a 54 años;Ambos sexos;2019;25.674,4
Balears, Illes;De 45 a 54 años;Ambos sexos;2018;26.123,87
Balears, Illes;De 45 a 54 años;Ambos sexos;2017;24.452,2
Balears, Illes;De 45 a 54 años;Ambos sexos;2016;24.361,62
Balears, Illes;De 45 a 54 años;Ambos sexos;2015;24.772,09
Balears, Illes;De 45 a 54 años;Ambos sexos;2014;23.196,33
Balears, Illes;De 45 a 54 años;Ambos sexos;2013;23.014,65
Balears, Illes;De 45 a 54 años;Ambos sexos;2012;22.886,64
Balears, Illes;De 45 a 54 años;Ambos sexos;2011;23.250,45
Balears, Illes;De 45 a 54 años;Ambos sexos;2010;24.189,48
Balears, Illes;De 45 a 54 años;Ambos sexos;2009;24.194,37
Balears, Illes;De 45 a 54 años;Ambos sexos;2008;23.122,05
Balears, Illes;De 45 a 54 años;Mujeres;2021;24.291,33
Balears, Illes;De 45 a 54 años;Mujeres;2020;23.799,15
Balears, Illes;De 45 a 54 años;Mujeres;2019;23.458,79
Balears, Illes;De 45 a 54 años;Mujeres;2018;23.414,56
Balears, Illes;De 45 a 54 años;Mujeres;2017;22.343,29
Balears, Illes;De 45 a 54 años;Mujeres;2016;21.873,01
Balears, Illes;De 45 a 54 años;Mujeres;2015;22.405,19
Balears, Illes;De 45 a 54 años;Mujeres;2014;19.855,79
Balears, Illes;De 45 a 54 años;Mujeres;2013;20.995,1
Balears, Illes;De 45 a 54 años;Mujeres;2012;20.267,62
Balears, Illes;De 45 a 54 años;Mujeres;2011;20.712,45
Balears, Illes;De 45 a 54 años;Mujeres;2010;20.798,04
Balears, Illes;De 45 a 54 años;Mujeres;2009;20.006,97
Balears, Illes;De 45 a 54 años;Mujeres;2008;19.896,12
Balears, Illes;De 45 a 54 años;Hombres;2021;28.072,67
Balears, Illes;De 45 a 54 años;Hombres;2020;28.122,51
Balears, Illes;De 45 a 54 años;Hombres;2019;27.714,97
Balears, Illes;De 45 a 54 años;Hombres;2018;28.739,78
Balears, Illes;De 45 a 54 años;Hombres;2017;26.536,87
Balears, Illes;De 45 a 54 años;Hombres;2016;27.010,99
Balears, Illes;De 45 a 54 años;Hombres;2015;27.286,75
Balears, Illes;De 45 a 54 años;Hombres;2014;26.965,75
Balears, Illes;De 45 a 54 años;Hombres;2013;25.061,25
Balears, Illes;De 45 a 54 años;Hombres;2012;25.435,28
Balears, Illes;De 45 a 54 años;Hombres;2011;25.576,88
Balears, Illes;De 45 a 54 años;Hombres;2010;27.077,83
Balears, Illes;De 45 a 54 años;Hombres;2009;28.279,82
Balears, Illes;De 45 a 54 años;Hombres;2008;25.753,77
Balears, Illes;55 y más años;Ambos sexos;2021;26.875,22
Balears, Illes;55 y más años;Ambos sexos;2020;26.907,77
Balears, Illes;55 y más años;Ambos sexos;2019;26.109,92
Balears, Illes;55 y más años;Ambos sexos;2018;25.708,34
Balears, Illes;55 y más años;Ambos sexos;2017;24.424,79
Balears, Illes;55 y más años;Ambos sexos;2016;24.832,89
Balears, Illes;55 y más años;Ambos sexos;2015;23.837,34
Balears, Illes;55 y más años;Ambos sexos;2014;22.520,93
Balears, Illes;55 y más años;Ambos sexos;2013;22.714,53
Balears, Illes;55 y más años;Ambos sexos;2012;23.149,78
Balears, Illes;55 y más años;Ambos sexos;2011;24.104,05
Balears, Illes;55 y más años;Ambos sexos;2010;24.262,75
Balears, Illes;55 y más años;Ambos sexos;2009;23.349,2
Balears, Illes;55 y más años;Ambos sexos;2008;23.478,33
Balears, Illes;55 y más años;Mujeres;2021;22.714,37
Balears, Illes;55 y más años;Mujeres;2020;22.817,49
Balears, Illes;55 y más años;Mujeres;2019;23.150,29
Balears, Illes;55 y más años;Mujeres;2018;22.076,6
Balears, Illes;55 y más años;Mujeres;2017;21.697,47
Balears, Illes;55 y más años;Mujeres;2016;21.926,92
Balears, Illes;55 y más años;Mujeres;2015;20.679,9
Balears, Illes;55 y más años;Mujeres;2014;-19.045,81
Balears, Illes;55 y más años;Mujeres;2013;-20.090,89
Balears, Illes;55 y más años;Mujeres;2012;-20.422,33
Balears, Illes;55 y más años;Mujeres;2011;-20.559,02
Balears, Illes;55 y más años;Mujeres;2010;-21.213,31
Balears, Illes;55 y más años;Mujeres;2009;-19.903,27
Balears, Illes;55 y más años;Mujeres;2008;-19.160,03
Balears, Illes;55 y más años;Hombres;2021;31.195,22
Balears, Illes;55 y más años;Hombres;2020;31.058,74
Balears, Illes;55 y más años;Hombres;2019;28.972,23
Balears, Illes;55 y más años;Hombres;2018;29.155,92
Balears, Illes;55 y más años;Hombres;2017;27.381,83
Balears, Illes;55 y más años;Hombres;2016;27.882,6
Balears, Illes;55 y más años;Hombres;2015;27.146,36
Balears, Illes;55 y más años;Hombres;2014;25.786,89
Balears, Illes;55 y más años;Hombres;2013;25.375,14
Balears, Illes;55 y más años;Hombres;2012;26.025,81
Balears, Illes;55 y más años;Hombres;2011;27.319,08
Balears, Illes;55 y más años;Hombres;2010;26.619,8
Balears, Illes;55 y más años;Hombres;2009;25.637,87
Balears, Illes;55 y más años;Hombres;2008;26.081,58
Canarias;Todas las edades;Ambos sexos;2021;22.466,23
Canarias;Todas las edades;Ambos sexos;2020;21.631,17
Canarias;Todas las edades;Ambos sexos;2019;20.861,14
Canarias;Todas las edades;Ambos sexos;2018;20.763,48
Canarias;Todas las edades;Ambos sexos;2017;20.185,33
Canarias;Todas las edades;Ambos sexos;2016;19.749,03
Canarias;Todas las edades;Ambos sexos;2015;19.856,61
Canarias;Todas las edades;Ambos sexos;2014;19.436,48
Canarias;Todas las edades;Ambos sexos;2013;19.167,93
Canarias;Todas las edades;Ambos sexos;2012;19.277,62
Canarias;Todas las edades;Ambos sexos;2011;19.516,96
Canarias;Todas las edades;Ambos sexos;2010;19.315,56
Canarias;Todas las edades;Ambos sexos;2009;18.926,36
Canarias;Todas las edades;Ambos sexos;2008;18.466,99
Canarias;Todas las edades;Mujeres;2021;21.178,57
Canarias;Todas las edades;Mujeres;2020;20.461,63
Canarias;Todas las edades;Mujeres;2019;19.540,82
Canarias;Todas las edades;Mujeres;2018;19.051,01
Canarias;Todas las edades;Mujeres;2017;18.917,73
Canarias;Todas las edades;Mujeres;2016;18.211,44
Canarias;Todas las edades;Mujeres;2015;18.279,76
Canarias;Todas las edades;Mujeres;2014;18.201,48
Canarias;Todas las edades;Mujeres;2013;17.619,86
Canarias;Todas las edades;Mujeres;2012;17.498,71
Canarias;Todas las edades;Mujeres;2011;17.824,94
Canarias;Todas las edades;Mujeres;2010;17.601,79
Canarias;Todas las edades;Mujeres;2009;17.528,33
Canarias;Todas las edades;Mujeres;2008;17.131,85
Canarias;Todas las edades;Hombres;2021;23.619,76
Canarias;Todas las edades;Hombres;2020;22.697,51
Canarias;Todas las edades;Hombres;2019;22.082,69
Canarias;Todas las edades;Hombres;2018;22.333,63
Canarias;Todas las edades;Hombres;2017;21.291,66
Canarias;Todas las edades;Hombres;2016;21.149,44
Canarias;Todas las edades;Hombres;2015;21.336,72
Canarias;Todas las edades;Hombres;2014;20.641,49
Canarias;Todas las edades;Hombres;2013;20.678,43
Canarias;Todas las edades;Hombres;2012;21.089,85
Canarias;Todas las edades;Hombres;2011;21.090,86
Canarias;Todas las edades;Hombres;2010;20.986,94
Canarias;Todas las edades;Hombres;2009;20.109,24
Canarias;Todas las edades;Hombres;2008;19.516,93
Canarias;Menos de 25 años;Ambos sexos;2021;-11.614,77
Canarias;Menos de 25 años;Ambos sexos;2020;-11.499,29
Canarias;Menos de 25 años;Ambos sexos;2019;-11.318,63
Canarias;Menos de 25 años;Ambos sexos;2018;-12.182,4
Canarias;Menos de 25 años;Ambos sexos;2017;-12.609,45
Canarias;Menos de 25 años;Ambos sexos;2016;-11.432,4
Canarias;Menos de 25 años;Ambos sexos;2015;-11.977,74
Canarias;Menos de 25 años;Ambos sexos;2014;-11.431,23
Canarias;Menos de 25 años;Ambos sexos;2013;-9.149,41
Canarias;Menos de 25 años;Ambos sexos;2012;-9.913,79
Canarias;Menos de 25 años;Ambos sexos;2011;-10.953,24
Canarias;Menos de 25 años;Ambos sexos;2010;-11.562,6
Canarias;Menos de 25 años;Ambos sexos;2009;-11.110,46
Canarias;Menos de 25 años;Ambos sexos;2008;11.306,36
Canarias;Menos de 25 años;Mujeres;2021;..
Canarias;Menos de 25 años;Mujeres;2020;..
Canarias;Menos de 25 años;Mujeres;2019;-9.659,96
Canarias;Menos de 25 años;Mujeres;2018;-10.234,37
Canarias;Menos de 25 años;Mujeres;2017;..
Canarias;Menos de 25 años;Mujeres;2016;-11.018,29
Canarias;Menos de 25 años;Mujeres;2015;..
Canarias;Menos de 25 años;Mujeres;2014;-11.319,52
Canarias;Menos de 25 años;Mujeres;2013;..
Canarias;Menos de 25 años;Mujeres;2012;-9.298,81
Canarias;Menos de 25 años;Mujeres;2011;-9.851,99
Canarias;Menos de 25 años;Mujeres;2010;-11.037,94
Canarias;Menos de 25 años;Mujeres;2009;-10.297,11
Canarias;Menos de 25 años;Mujeres;2008;-9.696,9
Canarias;Menos de 25 años;Hombres;2021;-12.257,73
Canarias;Menos de 25 años;Hombres;2020;-12.505,41
