Comunidades y ciudades autónomas;Sexo;Número de penas;Periodo;Total
03 Asturias, Principado de;Mujeres;Condenados con cinco penas;2015;34
03 Asturias, Principado de;Mujeres;Condenados con cinco penas;2014;28
03 Asturias, Principado de;Mujeres;Condenados con cinco penas;2013;28
03 Asturias, Principado de;Mujeres;Condenados con seis o más penas;2022;60
03 Asturias, Principado de;Mujeres;Condenados con seis o más penas;2021;65
03 Asturias, Principado de;Mujeres;Condenados con seis o más penas;2020;36
03 Asturias, Principado de;Mujeres;Condenados con seis o más penas;2019;62
03 Asturias, Principado de;Mujeres;Condenados con seis o más penas;2018;62
03 Asturias, Principado de;Mujeres;Condenados con seis o más penas;2017;71
03 Asturias, Principado de;Mujeres;Condenados con seis o más penas;2016;56
03 Asturias, Principado de;Mujeres;Condenados con seis o más penas;2015;28
03 Asturias, Principado de;Mujeres;Condenados con seis o más penas;2014;33
03 Asturias, Principado de;Mujeres;Condenados con seis o más penas;2013;26
04 Balears, Illes;Total;Total;2022;9.480
04 Balears, Illes;Total;Total;2021;8.946
04 Balears, Illes;Total;Total;2020;6.471
04 Balears, Illes;Total;Total;2019;8.336
04 Balears, Illes;Total;Total;2018;8.216
04 Balears, Illes;Total;Total;2017;8.239
04 Balears, Illes;Total;Total;2016;7.701
04 Balears, Illes;Total;Total;2015;6.851
04 Balears, Illes;Total;Total;2014;7.177
04 Balears, Illes;Total;Total;2013;7.094
04 Balears, Illes;Total;Condenados con una pena;2022;2.968
04 Balears, Illes;Total;Condenados con una pena;2021;2.846
04 Balears, Illes;Total;Condenados con una pena;2020;2.065
04 Balears, Illes;Total;Condenados con una pena;2019;2.663
04 Balears, Illes;Total;Condenados con una pena;2018;2.635
04 Balears, Illes;Total;Condenados con una pena;2017;2.505
04 Balears, Illes;Total;Condenados con una pena;2016;1.882
04 Balears, Illes;Total;Condenados con una pena;2015;1.332
04 Balears, Illes;Total;Condenados con una pena;2014;1.293
04 Balears, Illes;Total;Condenados con una pena;2013;1.089
04 Balears, Illes;Total;Condenados con dos penas;2022;3.063
04 Balears, Illes;Total;Condenados con dos penas;2021;2.731
04 Balears, Illes;Total;Condenados con dos penas;2020;2.066
04 Balears, Illes;Total;Condenados con dos penas;2019;2.577
04 Balears, Illes;Total;Condenados con dos penas;2018;2.651
04 Balears, Illes;Total;Condenados con dos penas;2017;2.672
04 Balears, Illes;Total;Condenados con dos penas;2016;2.813
04 Balears, Illes;Total;Condenados con dos penas;2015;2.769
04 Balears, Illes;Total;Condenados con dos penas;2014;3.136
04 Balears, Illes;Total;Condenados con dos penas;2013;3.189
04 Balears, Illes;Total;Condenados con tres penas;2022;1.117
04 Balears, Illes;Total;Condenados con tres penas;2021;1.154
04 Balears, Illes;Total;Condenados con tres penas;2020;738
04 Balears, Illes;Total;Condenados con tres penas;2019;1.017
04 Balears, Illes;Total;Condenados con tres penas;2018;1.032
04 Balears, Illes;Total;Condenados con tres penas;2017;1.140
04 Balears, Illes;Total;Condenados con tres penas;2016;1.119
04 Balears, Illes;Total;Condenados con tres penas;2015;972
04 Balears, Illes;Total;Condenados con tres penas;2014;936
04 Balears, Illes;Total;Condenados con tres penas;2013;1.035
04 Balears, Illes;Total;Condenados con cuatro penas;2022;1.096
04 Balears, Illes;Total;Condenados con cuatro penas;2021;990
04 Balears, Illes;Total;Condenados con cuatro penas;2020;852
04 Balears, Illes;Total;Condenados con cuatro penas;2019;960
04 Balears, Illes;Total;Condenados con cuatro penas;2018;880
04 Balears, Illes;Total;Condenados con cuatro penas;2017;892
04 Balears, Illes;Total;Condenados con cuatro penas;2016;946
04 Balears, Illes;Total;Condenados con cuatro penas;2015;928
04 Balears, Illes;Total;Condenados con cuatro penas;2014;934
04 Balears, Illes;Total;Condenados con cuatro penas;2013;921
04 Balears, Illes;Total;Condenados con cinco penas;2022;379
04 Balears, Illes;Total;Condenados con cinco penas;2021;352
04 Balears, Illes;Total;Condenados con cinco penas;2020;215
04 Balears, Illes;Total;Condenados con cinco penas;2019;334
04 Balears, Illes;Total;Condenados con cinco penas;2018;310
04 Balears, Illes;Total;Condenados con cinco penas;2017;300
04 Balears, Illes;Total;Condenados con cinco penas;2016;325
04 Balears, Illes;Total;Condenados con cinco penas;2015;284
04 Balears, Illes;Total;Condenados con cinco penas;2014;261
04 Balears, Illes;Total;Condenados con cinco penas;2013;291
04 Balears, Illes;Total;Condenados con seis o más penas;2022;857
04 Balears, Illes;Total;Condenados con seis o más penas;2021;873
04 Balears, Illes;Total;Condenados con seis o más penas;2020;535
04 Balears, Illes;Total;Condenados con seis o más penas;2019;785
04 Balears, Illes;Total;Condenados con seis o más penas;2018;708
04 Balears, Illes;Total;Condenados con seis o más penas;2017;730
04 Balears, Illes;Total;Condenados con seis o más penas;2016;616
04 Balears, Illes;Total;Condenados con seis o más penas;2015;566
04 Balears, Illes;Total;Condenados con seis o más penas;2014;617
04 Balears, Illes;Total;Condenados con seis o más penas;2013;569
04 Balears, Illes;Hombres;Total;2022;7.632
04 Balears, Illes;Hombres;Total;2021;7.190
04 Balears, Illes;Hombres;Total;2020;5.235
04 Balears, Illes;Hombres;Total;2019;6.761
04 Balears, Illes;Hombres;Total;2018;6.605
04 Balears, Illes;Hombres;Total;2017;6.697
04 Balears, Illes;Hombres;Total;2016;6.446
04 Balears, Illes;Hombres;Total;2015;5.818
04 Balears, Illes;Hombres;Total;2014;6.154
04 Balears, Illes;Hombres;Total;2013;6.173
04 Balears, Illes;Hombres;Condenados con una pena;2022;2.112
04 Balears, Illes;Hombres;Condenados con una pena;2021;2.031
04 Balears, Illes;Hombres;Condenados con una pena;2020;1.457
04 Balears, Illes;Hombres;Condenados con una pena;2019;1.888
04 Balears, Illes;Hombres;Condenados con una pena;2018;1.854
04 Balears, Illes;Hombres;Condenados con una pena;2017;1.895
04 Balears, Illes;Hombres;Condenados con una pena;2016;1.479
04 Balears, Illes;Hombres;Condenados con una pena;2015;1.125
04 Balears, Illes;Hombres;Condenados con una pena;2014;1.122
04 Balears, Illes;Hombres;Condenados con una pena;2013;939
04 Balears, Illes;Hombres;Condenados con dos penas;2022;2.510
04 Balears, Illes;Hombres;Condenados con dos penas;2021;2.236
04 Balears, Illes;Hombres;Condenados con dos penas;2020;1.720
04 Balears, Illes;Hombres;Condenados con dos penas;2019;2.133
04 Balears, Illes;Hombres;Condenados con dos penas;2018;2.162
04 Balears, Illes;Hombres;Condenados con dos penas;2017;2.141
04 Balears, Illes;Hombres;Condenados con dos penas;2016;2.319
04 Balears, Illes;Hombres;Condenados con dos penas;2015;2.263
04 Balears, Illes;Hombres;Condenados con dos penas;2014;2.602
04 Balears, Illes;Hombres;Condenados con dos penas;2013;2.724
04 Balears, Illes;Hombres;Condenados con tres penas;2022;937
04 Balears, Illes;Hombres;Condenados con tres penas;2021;959
04 Balears, Illes;Hombres;Condenados con tres penas;2020;627
04 Balears, Illes;Hombres;Condenados con tres penas;2019;854
04 Balears, Illes;Hombres;Condenados con tres penas;2018;882
04 Balears, Illes;Hombres;Condenados con tres penas;2017;963
04 Balears, Illes;Hombres;Condenados con tres penas;2016;938
04 Balears, Illes;Hombres;Condenados con tres penas;2015;828
04 Balears, Illes;Hombres;Condenados con tres penas;2014;786
04 Balears, Illes;Hombres;Condenados con tres penas;2013;913
04 Balears, Illes;Hombres;Condenados con cuatro penas;2022;967
04 Balears, Illes;Hombres;Condenados con cuatro penas;2021;873
04 Balears, Illes;Hombres;Condenados con cuatro penas;2020;762
04 Balears, Illes;Hombres;Condenados con cuatro penas;2019;864
04 Balears, Illes;Hombres;Condenados con cuatro penas;2018;791
04 Balears, Illes;Hombres;Condenados con cuatro penas;2017;772
04 Balears, Illes;Hombres;Condenados con cuatro penas;2016;856
04 Balears, Illes;Hombres;Condenados con cuatro penas;2015;834
04 Balears, Illes;Hombres;Condenados con cuatro penas;2014;842
04 Balears, Illes;Hombres;Condenados con cuatro penas;2013;820
04 Balears, Illes;Hombres;Condenados con cinco penas;2022;337
04 Balears, Illes;Hombres;Condenados con cinco penas;2021;295
04 Balears, Illes;Hombres;Condenados con cinco penas;2020;178
04 Balears, Illes;Hombres;Condenados con cinco penas;2019;305
04 Balears, Illes;Hombres;Condenados con cinco penas;2018;274
04 Balears, Illes;Hombres;Condenados con cinco penas;2017;273
04 Balears, Illes;Hombres;Condenados con cinco penas;2016;294
04 Balears, Illes;Hombres;Condenados con cinco penas;2015;253
04 Balears, Illes;Hombres;Condenados con cinco penas;2014;238
04 Balears, Illes;Hombres;Condenados con cinco penas;2013;258
04 Balears, Illes;Hombres;Condenados con seis o más penas;2022;769
04 Balears, Illes;Hombres;Condenados con seis o más penas;2021;796
04 Balears, Illes;Hombres;Condenados con seis o más penas;2020;491
04 Balears, Illes;Hombres;Condenados con seis o más penas;2019;717
04 Balears, Illes;Hombres;Condenados con seis o más penas;2018;642
04 Balears, Illes;Hombres;Condenados con seis o más penas;2017;653
04 Balears, Illes;Hombres;Condenados con seis o más penas;2016;560
04 Balears, Illes;Hombres;Condenados con seis o más penas;2015;515
04 Balears, Illes;Hombres;Condenados con seis o más penas;2014;564
04 Balears, Illes;Hombres;Condenados con seis o más penas;2013;519
04 Balears, Illes;Mujeres;Total;2022;1.848
04 Balears, Illes;Mujeres;Total;2021;1.756
04 Balears, Illes;Mujeres;Total;2020;1.236
04 Balears, Illes;Mujeres;Total;2019;1.575
04 Balears, Illes;Mujeres;Total;2018;1.611
04 Balears, Illes;Mujeres;Total;2017;1.542
04 Balears, Illes;Mujeres;Total;2016;1.255
04 Balears, Illes;Mujeres;Total;2015;1.033
04 Balears, Illes;Mujeres;Total;2014;1.023
04 Balears, Illes;Mujeres;Total;2013;921
04 Balears, Illes;Mujeres;Condenados con una pena;2022;856
04 Balears, Illes;Mujeres;Condenados con una pena;2021;815
04 Balears, Illes;Mujeres;Condenados con una pena;2020;608
04 Balears, Illes;Mujeres;Condenados con una pena;2019;775
04 Balears, Illes;Mujeres;Condenados con una pena;2018;781
04 Balears, Illes;Mujeres;Condenados con una pena;2017;610
04 Balears, Illes;Mujeres;Condenados con una pena;2016;403
04 Balears, Illes;Mujeres;Condenados con una pena;2015;207
04 Balears, Illes;Mujeres;Condenados con una pena;2014;171
04 Balears, Illes;Mujeres;Condenados con una pena;2013;150
04 Balears, Illes;Mujeres;Condenados con dos penas;2022;553
04 Balears, Illes;Mujeres;Condenados con dos penas;2021;495
04 Balears, Illes;Mujeres;Condenados con dos penas;2020;346
04 Balears, Illes;Mujeres;Condenados con dos penas;2019;444
04 Balears, Illes;Mujeres;Condenados con dos penas;2018;489
04 Balears, Illes;Mujeres;Condenados con dos penas;2017;531
04 Balears, Illes;Mujeres;Condenados con dos penas;2016;494
04 Balears, Illes;Mujeres;Condenados con dos penas;2015;506
04 Balears, Illes;Mujeres;Condenados con dos penas;2014;534
04 Balears, Illes;Mujeres;Condenados con dos penas;2013;465
04 Balears, Illes;Mujeres;Condenados con tres penas;2022;180
04 Balears, Illes;Mujeres;Condenados con tres penas;2021;195
04 Balears, Illes;Mujeres;Condenados con tres penas;2020;111
04 Balears, Illes;Mujeres;Condenados con tres penas;2019;163
04 Balears, Illes;Mujeres;Condenados con tres penas;2018;150
04 Balears, Illes;Mujeres;Condenados con tres penas;2017;177
04 Balears, Illes;Mujeres;Condenados con tres penas;2016;181
04 Balears, Illes;Mujeres;Condenados con tres penas;2015;144
04 Balears, Illes;Mujeres;Condenados con tres penas;2014;150
04 Balears, Illes;Mujeres;Condenados con tres penas;2013;122
04 Balears, Illes;Mujeres;Condenados con cuatro penas;2022;129
04 Balears, Illes;Mujeres;Condenados con cuatro penas;2021;117
04 Balears, Illes;Mujeres;Condenados con cuatro penas;2020;90
04 Balears, Illes;Mujeres;Condenados con cuatro penas;2019;96
04 Balears, Illes;Mujeres;Condenados con cuatro penas;2018;89
04 Balears, Illes;Mujeres;Condenados con cuatro penas;2017;120
04 Balears, Illes;Mujeres;Condenados con cuatro penas;2016;90
04 Balears, Illes;Mujeres;Condenados con cuatro penas;2015;94
04 Balears, Illes;Mujeres;Condenados con cuatro penas;2014;92
04 Balears, Illes;Mujeres;Condenados con cuatro penas;2013;101
04 Balears, Illes;Mujeres;Condenados con cinco penas;2022;42
04 Balears, Illes;Mujeres;Condenados con cinco penas;2021;57
04 Balears, Illes;Mujeres;Condenados con cinco penas;2020;37
04 Balears, Illes;Mujeres;Condenados con cinco penas;2019;29
04 Balears, Illes;Mujeres;Condenados con cinco penas;2018;36
04 Balears, Illes;Mujeres;Condenados con cinco penas;2017;27
04 Balears, Illes;Mujeres;Condenados con cinco penas;2016;31
04 Balears, Illes;Mujeres;Condenados con cinco penas;2015;31
04 Balears, Illes;Mujeres;Condenados con cinco penas;2014;23
04 Balears, Illes;Mujeres;Condenados con cinco penas;2013;33
04 Balears, Illes;Mujeres;Condenados con seis o más penas;2022;88
04 Balears, Illes;Mujeres;Condenados con seis o más penas;2021;77
04 Balears, Illes;Mujeres;Condenados con seis o más penas;2020;44
04 Balears, Illes;Mujeres;Condenados con seis o más penas;2019;68
04 Balears, Illes;Mujeres;Condenados con seis o más penas;2018;66
04 Balears, Illes;Mujeres;Condenados con seis o más penas;2017;77
04 Balears, Illes;Mujeres;Condenados con seis o más penas;2016;56
04 Balears, Illes;Mujeres;Condenados con seis o más penas;2015;51
04 Balears, Illes;Mujeres;Condenados con seis o más penas;2014;53
04 Balears, Illes;Mujeres;Condenados con seis o más penas;2013;50
05 Canarias;Total;Total;2022;17.085
05 Canarias;Total;Total;2021;16.032
05 Canarias;Total;Total;2020;12.307
05 Canarias;Total;Total;2019;15.481
05 Canarias;Total;Total;2018;15.520
05 Canarias;Total;Total;2017;15.589
05 Canarias;Total;Total;2016;15.139
05 Canarias;Total;Total;2015;12.603
05 Canarias;Total;Total;2014;12.400
05 Canarias;Total;Total;2013;11.756
05 Canarias;Total;Condenados con una pena;2022;6.062
05 Canarias;Total;Condenados con una pena;2021;5.567
05 Canarias;Total;Condenados con una pena;2020;4.288
05 Canarias;Total;Condenados con una pena;2019;5.384
05 Canarias;Total;Condenados con una pena;2018;5.661
05 Canarias;Total;Condenados con una pena;2017;5.469
05 Canarias;Total;Condenados con una pena;2016;5.076
05 Canarias;Total;Condenados con una pena;2015;2.936
05 Canarias;Total;Condenados con una pena;2014;2.632
05 Canarias;Total;Condenados con una pena;2013;2.789
05 Canarias;Total;Condenados con dos penas;2022;4.937
05 Canarias;Total;Condenados con dos penas;2021;4.465
05 Canarias;Total;Condenados con dos penas;2020;3.402
05 Canarias;Total;Condenados con dos penas;2019;4.518
05 Canarias;Total;Condenados con dos penas;2018;4.546
05 Canarias;Total;Condenados con dos penas;2017;4.749
05 Canarias;Total;Condenados con dos penas;2016;4.861
05 Canarias;Total;Condenados con dos penas;2015;4.864
05 Canarias;Total;Condenados con dos penas;2014;5.055
05 Canarias;Total;Condenados con dos penas;2013;5.067
05 Canarias;Total;Condenados con tres penas;2022;2.002
05 Canarias;Total;Condenados con tres penas;2021;2.055
05 Canarias;Total;Condenados con tres penas;2020;1.538
05 Canarias;Total;Condenados con tres penas;2019;1.835
05 Canarias;Total;Condenados con tres penas;2018;1.925
05 Canarias;Total;Condenados con tres penas;2017;1.939
05 Canarias;Total;Condenados con tres penas;2016;1.953
05 Canarias;Total;Condenados con tres penas;2015;1.736
05 Canarias;Total;Condenados con tres penas;2014;1.695
05 Canarias;Total;Condenados con tres penas;2013;1.465
05 Canarias;Total;Condenados con cuatro penas;2022;1.890
05 Canarias;Total;Condenados con cuatro penas;2021;1.745
05 Canarias;Total;Condenados con cuatro penas;2020;1.448
05 Canarias;Total;Condenados con cuatro penas;2019;1.719
05 Canarias;Total;Condenados con cuatro penas;2018;1.549
05 Canarias;Total;Condenados con cuatro penas;2017;1.602
05 Canarias;Total;Condenados con cuatro penas;2016;1.479
05 Canarias;Total;Condenados con cuatro penas;2015;1.489
05 Canarias;Total;Condenados con cuatro penas;2014;1.400
05 Canarias;Total;Condenados con cuatro penas;2013;1.153
05 Canarias;Total;Condenados con cinco penas;2022;718
05 Canarias;Total;Condenados con cinco penas;2021;680
05 Canarias;Total;Condenados con cinco penas;2020;561
05 Canarias;Total;Condenados con cinco penas;2019;684
05 Canarias;Total;Condenados con cinco penas;2018;633
05 Canarias;Total;Condenados con cinco penas;2017;701
05 Canarias;Total;Condenados con cinco penas;2016;651
05 Canarias;Total;Condenados con cinco penas;2015;588
05 Canarias;Total;Condenados con cinco penas;2014;646
05 Canarias;Total;Condenados con cinco penas;2013;518
05 Canarias;Total;Condenados con seis o más penas;2022;1.476
05 Canarias;Total;Condenados con seis o más penas;2021;1.520
05 Canarias;Total;Condenados con seis o más penas;2020;1.070
05 Canarias;Total;Condenados con seis o más penas;2019;1.341
05 Canarias;Total;Condenados con seis o más penas;2018;1.206
05 Canarias;Total;Condenados con seis o más penas;2017;1.129
05 Canarias;Total;Condenados con seis o más penas;2016;1.119
05 Canarias;Total;Condenados con seis o más penas;2015;990
05 Canarias;Total;Condenados con seis o más penas;2014;972
05 Canarias;Total;Condenados con seis o más penas;2013;764
05 Canarias;Hombres;Total;2022;14.106
05 Canarias;Hombres;Total;2021;13.257
05 Canarias;Hombres;Total;2020;10.229
05 Canarias;Hombres;Total;2019;12.632
05 Canarias;Hombres;Total;2018;12.762
05 Canarias;Hombres;Total;2017;12.809
05 Canarias;Hombres;Total;2016;12.545
05 Canarias;Hombres;Total;2015;10.992
05 Canarias;Hombres;Total;2014;11.035
05 Canarias;Hombres;Total;2013;10.535
05 Canarias;Hombres;Condenados con una pena;2022;4.561
05 Canarias;Hombres;Condenados con una pena;2021;4.146
05 Canarias;Hombres;Condenados con una pena;2020;3.226
05 Canarias;Hombres;Condenados con una pena;2019;3.877
05 Canarias;Hombres;Condenados con una pena;2018;4.160
05 Canarias;Hombres;Condenados con una pena;2017;3.976
05 Canarias;Hombres;Condenados con una pena;2016;3.730
05 Canarias;Hombres;Condenados con una pena;2015;2.398
05 Canarias;Hombres;Condenados con una pena;2014;2.283
05 Canarias;Hombres;Condenados con una pena;2013;2.499
05 Canarias;Hombres;Condenados con dos penas;2022;4.112
05 Canarias;Hombres;Condenados con dos penas;2021;3.749
05 Canarias;Hombres;Condenados con dos penas;2020;2.862
05 Canarias;Hombres;Condenados con dos penas;2019;3.787
05 Canarias;Hombres;Condenados con dos penas;2018;3.844
05 Canarias;Hombres;Condenados con dos penas;2017;4.041
05 Canarias;Hombres;Condenados con dos penas;2016;4.173
05 Canarias;Hombres;Condenados con dos penas;2015;4.267
05 Canarias;Hombres;Condenados con dos penas;2014;4.452
05 Canarias;Hombres;Condenados con dos penas;2013;4.518
05 Canarias;Hombres;Condenados con tres penas;2022;1.729
05 Canarias;Hombres;Condenados con tres penas;2021;1.762
05 Canarias;Hombres;Condenados con tres penas;2020;1.345
05 Canarias;Hombres;Condenados con tres penas;2019;1.567
05 Canarias;Hombres;Condenados con tres penas;2018;1.676
05 Canarias;Hombres;Condenados con tres penas;2017;1.689
05 Canarias;Hombres;Condenados con tres penas;2016;1.688
05 Canarias;Hombres;Condenados con tres penas;2015;1.523
05 Canarias;Hombres;Condenados con tres penas;2014;1.521
05 Canarias;Hombres;Condenados con tres penas;2013;1.268
05 Canarias;Hombres;Condenados con cuatro penas;2022;1.700
05 Canarias;Hombres;Condenados con cuatro penas;2021;1.567
05 Canarias;Hombres;Condenados con cuatro penas;2020;1.317
05 Canarias;Hombres;Condenados con cuatro penas;2019;1.549
05 Canarias;Hombres;Condenados con cuatro penas;2018;1.393
05 Canarias;Hombres;Condenados con cuatro penas;2017;1.436
05 Canarias;Hombres;Condenados con cuatro penas;2016;1.329
05 Canarias;Hombres;Condenados con cuatro penas;2015;1.343
05 Canarias;Hombres;Condenados con cuatro penas;2014;1.270
05 Canarias;Hombres;Condenados con cuatro penas;2013;1.058
05 Canarias;Hombres;Condenados con cinco penas;2022;656
05 Canarias;Hombres;Condenados con cinco penas;2021;626
05 Canarias;Hombres;Condenados con cinco penas;2020;495
05 Canarias;Hombres;Condenados con cinco penas;2019;628
05 Canarias;Hombres;Condenados con cinco penas;2018;570
05 Canarias;Hombres;Condenados con cinco penas;2017;633
05 Canarias;Hombres;Condenados con cinco penas;2016;597
05 Canarias;Hombres;Condenados con cinco penas;2015;542
05 Canarias;Hombres;Condenados con cinco penas;2014;592
05 Canarias;Hombres;Condenados con cinco penas;2013;481
05 Canarias;Hombres;Condenados con seis o más penas;2022;1.348
05 Canarias;Hombres;Condenados con seis o más penas;2021;1.407
05 Canarias;Hombres;Condenados con seis o más penas;2020;984
05 Canarias;Hombres;Condenados con seis o más penas;2019;1.224
05 Canarias;Hombres;Condenados con seis o más penas;2018;1.119
05 Canarias;Hombres;Condenados con seis o más penas;2017;1.034
05 Canarias;Hombres;Condenados con seis o más penas;2016;1.028
05 Canarias;Hombres;Condenados con seis o más penas;2015;919
05 Canarias;Hombres;Condenados con seis o más penas;2014;917
05 Canarias;Hombres;Condenados con seis o más penas;2013;711
05 Canarias;Mujeres;Total;2022;2.979
05 Canarias;Mujeres;Total;2021;2.775
05 Canarias;Mujeres;Total;2020;2.078
05 Canarias;Mujeres;Total;2019;2.849
05 Canarias;Mujeres;Total;2018;2.758
05 Canarias;Mujeres;Total;2017;2.780
05 Canarias;Mujeres;Total;2016;2.594
05 Canarias;Mujeres;Total;2015;1.611
05 Canarias;Mujeres;Total;2014;1.365
05 Canarias;Mujeres;Total;2013;1.221
05 Canarias;Mujeres;Condenados con una pena;2022;1.501
05 Canarias;Mujeres;Condenados con una pena;2021;1.421
05 Canarias;Mujeres;Condenados con una pena;2020;1.062
05 Canarias;Mujeres;Condenados con una pena;2019;1.507
05 Canarias;Mujeres;Condenados con una pena;2018;1.501
05 Canarias;Mujeres;Condenados con una pena;2017;1.493
05 Canarias;Mujeres;Condenados con una pena;2016;1.346
05 Canarias;Mujeres;Condenados con una pena;2015;538
05 Canarias;Mujeres;Condenados con una pena;2014;349
05 Canarias;Mujeres;Condenados con una pena;2013;290
05 Canarias;Mujeres;Condenados con dos penas;2022;825
05 Canarias;Mujeres;Condenados con dos penas;2021;716
05 Canarias;Mujeres;Condenados con dos penas;2020;540
05 Canarias;Mujeres;Condenados con dos penas;2019;731
05 Canarias;Mujeres;Condenados con dos penas;2018;702
05 Canarias;Mujeres;Condenados con dos penas;2017;708
05 Canarias;Mujeres;Condenados con dos penas;2016;688
05 Canarias;Mujeres;Condenados con dos penas;2015;597
05 Canarias;Mujeres;Condenados con dos penas;2014;603
05 Canarias;Mujeres;Condenados con dos penas;2013;549
05 Canarias;Mujeres;Condenados con tres penas;2022;273
05 Canarias;Mujeres;Condenados con tres penas;2021;293
05 Canarias;Mujeres;Condenados con tres penas;2020;193
05 Canarias;Mujeres;Condenados con tres penas;2019;268
05 Canarias;Mujeres;Condenados con tres penas;2018;249
05 Canarias;Mujeres;Condenados con tres penas;2017;250
05 Canarias;Mujeres;Condenados con tres penas;2016;265
05 Canarias;Mujeres;Condenados con tres penas;2015;213
05 Canarias;Mujeres;Condenados con tres penas;2014;174
05 Canarias;Mujeres;Condenados con tres penas;2013;197
05 Canarias;Mujeres;Condenados con cuatro penas;2022;190
05 Canarias;Mujeres;Condenados con cuatro penas;2021;178
05 Canarias;Mujeres;Condenados con cuatro penas;2020;131
05 Canarias;Mujeres;Condenados con cuatro penas;2019;170
05 Canarias;Mujeres;Condenados con cuatro penas;2018;156
05 Canarias;Mujeres;Condenados con cuatro penas;2017;166
05 Canarias;Mujeres;Condenados con cuatro penas;2016;150
05 Canarias;Mujeres;Condenados con cuatro penas;2015;146
05 Canarias;Mujeres;Condenados con cuatro penas;2014;130
05 Canarias;Mujeres;Condenados con cuatro penas;2013;95
05 Canarias;Mujeres;Condenados con cinco penas;2022;62
05 Canarias;Mujeres;Condenados con cinco penas;2021;54
05 Canarias;Mujeres;Condenados con cinco penas;2020;66
05 Canarias;Mujeres;Condenados con cinco penas;2019;56
05 Canarias;Mujeres;Condenados con cinco penas;2018;63
05 Canarias;Mujeres;Condenados con cinco penas;2017;68
05 Canarias;Mujeres;Condenados con cinco penas;2016;54
05 Canarias;Mujeres;Condenados con cinco penas;2015;46
05 Canarias;Mujeres;Condenados con cinco penas;2014;54
05 Canarias;Mujeres;Condenados con cinco penas;2013;37
05 Canarias;Mujeres;Condenados con seis o más penas;2022;128
05 Canarias;Mujeres;Condenados con seis o más penas;2021;113
05 Canarias;Mujeres;Condenados con seis o más penas;2020;86
05 Canarias;Mujeres;Condenados con seis o más penas;2019;117
05 Canarias;Mujeres;Condenados con seis o más penas;2018;87
05 Canarias;Mujeres;Condenados con seis o más penas;2017;95
05 Canarias;Mujeres;Condenados con seis o más penas;2016;91
05 Canarias;Mujeres;Condenados con seis o más penas;2015;71
05 Canarias;Mujeres;Condenados con seis o más penas;2014;55
05 Canarias;Mujeres;Condenados con seis o más penas;2013;53
06 Cantabria;Total;Total;2022;3.978
06 Cantabria;Total;Total;2021;3.646
06 Cantabria;Total;Total;2020;2.962
06 Cantabria;Total;Total;2019;3.475
06 Cantabria;Total;Total;2018;3.450
06 Cantabria;Total;Total;2017;3.320
06 Cantabria;Total;Total;2016;3.370
06 Cantabria;Total;Total;2015;2.580
06 Cantabria;Total;Total;2014;2.622
06 Cantabria;Total;Total;2013;2.618
06 Cantabria;Total;Condenados con una pena;2022;1.602
06 Cantabria;Total;Condenados con una pena;2021;1.433
06 Cantabria;Total;Condenados con una pena;2020;1.225
06 Cantabria;Total;Condenados con una pena;2019;1.251
06 Cantabria;Total;Condenados con una pena;2018;1.326
06 Cantabria;Total;Condenados con una pena;2017;1.221
06 Cantabria;Total;Condenados con una pena;2016;1.212
06 Cantabria;Total;Condenados con una pena;2015;703
06 Cantabria;Total;Condenados con una pena;2014;575
06 Cantabria;Total;Condenados con una pena;2013;595
06 Cantabria;Total;Condenados con dos penas;2022;1.264
06 Cantabria;Total;Condenados con dos penas;2021;1.121
06 Cantabria;Total;Condenados con dos penas;2020;920
06 Cantabria;Total;Condenados con dos penas;2019;1.164
06 Cantabria;Total;Condenados con dos penas;2018;1.112
06 Cantabria;Total;Condenados con dos penas;2017;1.128
06 Cantabria;Total;Condenados con dos penas;2016;1.145
06 Cantabria;Total;Condenados con dos penas;2015;997
06 Cantabria;Total;Condenados con dos penas;2014;1.120
06 Cantabria;Total;Condenados con dos penas;2013;1.145
06 Cantabria;Total;Condenados con tres penas;2022;360
06 Cantabria;Total;Condenados con tres penas;2021;337
06 Cantabria;Total;Condenados con tres penas;2020;252
06 Cantabria;Total;Condenados con tres penas;2019;365
06 Cantabria;Total;Condenados con tres penas;2018;347
06 Cantabria;Total;Condenados con tres penas;2017;348
06 Cantabria;Total;Condenados con tres penas;2016;395
06 Cantabria;Total;Condenados con tres penas;2015;306
06 Cantabria;Total;Condenados con tres penas;2014;315
06 Cantabria;Total;Condenados con tres penas;2013;318
06 Cantabria;Total;Condenados con cuatro penas;2022;273
06 Cantabria;Total;Condenados con cuatro penas;2021;288
06 Cantabria;Total;Condenados con cuatro penas;2020;216
06 Cantabria;Total;Condenados con cuatro penas;2019;271
06 Cantabria;Total;Condenados con cuatro penas;2018;232
06 Cantabria;Total;Condenados con cuatro penas;2017;233
06 Cantabria;Total;Condenados con cuatro penas;2016;227
06 Cantabria;Total;Condenados con cuatro penas;2015;262
06 Cantabria;Total;Condenados con cuatro penas;2014;245
06 Cantabria;Total;Condenados con cuatro penas;2013;228
06 Cantabria;Total;Condenados con cinco penas;2022;132
06 Cantabria;Total;Condenados con cinco penas;2021;155
06 Cantabria;Total;Condenados con cinco penas;2020;127
06 Cantabria;Total;Condenados con cinco penas;2019;142
06 Cantabria;Total;Condenados con cinco penas;2018;124
06 Cantabria;Total;Condenados con cinco penas;2017;109
